" ";"http://dbpedia.org/class/yago/DiscoverersOfChemicalElements"
"http://dbpedia.org/resource/Category:Chemical_elements";"http://dbpedia.org/resource/Category:Discoverers_of_chemical_elements"
"Actinium";"Debierne"
"Aluminium";"Ørsted"
"Americium";"Seaborg"
"Antimon (Stibium)";
"Argon";"Ramsay,
Strutt"
"Arsen";"Albertus Magnus"
"Astat";"Segrè"
"Barium";"Davy"
"Berkelium";"Seaborg"
"Beryllium";"Vauquelin"
"Bismut";"Agricola"
"Blei (Plumbum)";
"Bohrium";"Oganessian"
"Bor";"Davy,
Gay-Lussac"
"Brom";"Balard"
"Cadmium";"Stromeyer 
Hermann"
"Caesium";"Kirchhoff,
Bunsen"
"Calcium";"Davy"
"Californium";"Seaborg"
"Cer";"von Hisinger, Berzelius"
"Chlor";"Scheele"
"Chrom";"Vauquelin"
"Cobalt";"Brandt"
"Copernicium";"GSI"
"Curium";"Seaborg"
"Darmstadtium";"GSI"
"Dubnium";"Ghiorso"
"Dysprosium";"Lecoq de Boisbaudran"
"Einsteinium";"Seaborg"
"Eisen
(Ferrum)";
"Erbium";"Mosander"
"Europium";"Demarçay"
"Fermium";"Seaborg"
"Flerovium";"JINR"
"Fluor";"Moissan"
"Francium";"Perey"
"Gadolinium";"de Marignac"
"Gallium";"Lecoq de Boisbaudran"
"Germanium";"Winkler"
"Gold
(Aurum)";
"Hafnium";"Coster,
de Hevesy"
"Hassium";"GSI"
"Helium";"Ramsay,
Crookes"
"Holmium";"Soret"
"Indium";"Reich,
Richter"
"Iod";"Courtois"
"Iridium";"Tennant"
"Kalium";"Davy"
"Kohlenstoff (Carbon)";
"Krypton";"Ramsay,
Travers"
"Kupfer
(Cuprum)";
"Lanthan";"Mosander"
"Lawrencium";"Ghiorso"
"Lithium";"Arfwedson"
"Livermorium";"JINR"
"Lutetium";"von Welsbach,
Urbain"
"Magnesium";"Bussy"
"Mangan";"Gahn"
"Meitnerium";"GSI"
"Mendelevium";"Seaborg"
"Molybdän";"Scheele"
"Natrium";"Davy"
"Neodym";"von Welsbach"
"Neon";"Ramsay
Travers"
"Neptunium";"McMillan
Abelson"
"Nickel";"Cronstedt"
"Niob";"Hatchet"
"Nobelium";"Seaborg"
"Osmium";"Tennant"
"Palladium";"Wollaston"
"Phosphor 3)";"Brand"
"Platin";"Scaliger"
"Plutonium";"Seaborg"
"Polonium";"Marie
Pierre Curie"
"Praseodym";"von Welsbach"
"Promethium";"Marinsky"
"Protactinium";"Fajans
Hahn,
Meitner"
"Quecksilber (Hydrargyrum)";
"Radium";"Marie 
Pierre Curie"
"Radon";"Dorn"
"Rhenium";"Noddack,
Tacke,
Berg"
"Rhodium";"Wollaston"
"Roentgenium";"GSI"
"Rubidium";"Bunsen,
Kirchhoff"
"Ruthenium";"Claus"
"Rutherfordium";"Ghiorso"
"Samarium";"Lecoq de Boisbaudran"
"Sauerstoff (Oxygenium)";"Priestley,
Scheele"
"Scandium";"Nilson"
"Schwefel (Sulfur)";
"Seaborgium";"Oganessian"
"Selen";"Berzelius"
"Silber (Argentum)";
"Silicium";"Berzelius"
"Stickstoff (Nitrogenium)";"Scheele"
"Strontium";"Klaproth"
"Tantal";"Ekeberg"
"Technetium";"Segrè"
"Tellur";"von Reichenstein"
"Terbium";"Mosander"
"Thallium";"Crookes"
"Thorium";"Berzelius"
"Thulium";"Cleve"
"Titan";"Gregor,
Klaproth"
"Ununoctium";"JINR"
"Ununpentium";"JINR"
"Ununseptium";"JINR"
"Ununtrium";"JINR"
"Uran";"Klaproth"
"Vanadium";"del Río"
"Wasserstoff (Hydrogenium)";"Cavendish"
"Wolfram";"Fausto  Juan
de Elhuyar"
"Xenon";"Ramsay,
Travers"
"Ytterbium";"de Marignac"
"Yttrium";"Gadolin"
"Zink";
"Zinn (Stannum)";
"Zirconium";"Klaproth"
"()";"()"
