"http://dbpedia.org/class/yago/AustralianOpen(tennis)Champions,http://dbpedia.org/ontology/TennisPlayer";"http://dbpedia.org/class/yago/FrenchOpenChampions,http://dbpedia.org/ontology/TennisPlayer";"http://dbpedia.org/class/yago/WimbledonChampions,http://dbpedia.org/ontology/TennisPlayer";"http://dbpedia.org/class/yago/USOpen(tennis)Champions,http://dbpedia.org/ontology/TennisPlayer"
"http://dbpedia.org/resource/Category:Australian_Open_champions";"http://dbpedia.org/resource/Category:French_Open_champions";"http://dbpedia.org/resource/Category:Wimbledon_champions";"http://dbpedia.org/resource/Category:US_Open_(tennis)_champions"
"Johan Kriek";"Mats Wilander";"Jimmy Connors";"Jimmy Connors"
"Mats Wilander";"Yannick Noah";"John McEnroe";"Jimmy Connors"
"Mats Wilander";"Ivan Lendl";"John McEnroe";"  John McEnroe"
"Stefan Edberg";"Mats Wilander";"Boris Becker";"Ivan Lendl"
"no competition";"Ivan Lendl";"Boris Becker";"Ivan Lendl"
"Stefan Edberg";"Ivan Lendl";"Pat Cash";"Ivan Lendl"
"Mats Wilander";"Mats Wilander";"Stefan Edberg";"Mats Wilander"
"Ivan Lendl";"Michael Chang";"Boris Becker";"Boris Becker"
"Ivan Lendl";"Andrés Gómez";"Stefan Edberg";"Pete Sampras"
"Boris Becker";"Jim Courier";"Michael Stich";"Stefan Edberg"
"Jim Courier";"Jim Courier";"Andre Agassi";"Stefan Edberg"
"Jim Courier";"Sergi Bruguera";"Pete Sampras";"Pete Sampras"
"Pete Sampras";"Sergi Bruguera";"Pete Sampras";"Andre Agassi"
"Andre Agassi";"Thomas Muster";"Pete Sampras";"Pete Sampras"
"Boris Becker";"Yevgeny Kafelnikov";"Richard Krajicek";"Pete Sampras"
"Pete Sampras";"Gustavo Kuerten";"Pete Sampras";"Patrick Rafter"
"Petr Korda";"Carlos Moyá";"Pete Sampras";"Patrick Rafter"
"Yevgeny Kafelnikov";"Andre Agassi";"Pete Sampras";"Andre Agassi"
"Andre Agassi";"Gustavo Kuerten";"Pete Sampras";"Marat Safin"
"Andre Agassi";"Gustavo Kuerten";"Goran Ivanišević";"Lleyton Hewitt"
"Thomas Johansson";"Albert Costa";"Lleyton Hewitt";"Pete Sampras"
"Andre Agassi";"Juan Carlos Ferrero";"Roger Federer";"Andy Roddick"
"Roger Federer";"Gastón Gaudio";"Roger Federer";"Roger Federe"
"Marat Safin";"Rafael Nadal";"Roger Federer";"Roger Federer"
"Roger Federer";"Rafael Nadal";"Roger Federer";"Roger Federer"
"Roger Federer";"Rafael Nadal";"Roger Federer";"Roger Federer"
"Novak Djokovic";"Rafael Nadal";"Rafael Nadal";"Roger Federer"
"Rafael Nadal";"Roger Federer";"Roger Federer";"Juan Martín del Potro"
"Roger Federer";"Rafael Nadal";"Rafael Nadal";"Rafael Nadal"
"Novak Djokovic";"Rafael Nadal";"Novak Djokovic";"Novak Djokovic"
"Novak Djokovic";"Rafael Nadal";"Roger Federer";"Andy Murray"
"(Name)";"(Name)";"(Name)";"(Name)"
