"http://dbpedia.org/class/yago/WindmillsInFriesland";"http://dbpedia.org/class/yago/Factory103316406"
"http://dbpedia.org/resource/Category:Windmills_in_Friesland";"http://dbpedia.org/page/Category:Windmills"
"Windmotor Baaium";"Iron windpump"
"Windmotor Barfjild";"Iron windpump"
"De Linde";"Achtkantmolen"
"Paaltjasker";"Tjasker"
"De Klaver,De Greate Klaver";"Spinnenkop"
"Lonjé MolenTadema's Molen";"Grondzeiler"
"De Witte Molen";"Spinnenkopmolen"
"De Broekmolen";"Grondzeiler"
"De Grote Molen";"Grondzeiler"
"De Mûnts";"Grondzeiler"
"De Olifant";"Grondzeiler"
"De Windlust";"Stellingmolen"
"Windmotor Burdaard";"Iron windpump"
"De Zwaluw";"Stellingmolen"
"Molen van de Tjaard";"Grondzeiler"
"Aylvapoldermolen";"Grondzeiler"
"De Hiemerter Mole";"Spinnenkop"
"Windlust";"Stellingmolen"
"(Name)";"(Type)"
