"http://dbpedia.org/ontology/Actor";"http://dbpedia.org/class/yago/FilmsFeaturingABestActorAcademyAwardWinningPerformance";"http://dbpedia.org/ontology/FictionalCharacter"
"http://dbpedia.org/resource/Category:Best_Actor_Academy_Award_winners";"http://dbpedia.org/resource/Category:Films_featuring_a_Best_Actor_Academy_Award_winning_performance";"http://dbpedia.org/resource/Category:Fictional_characters"
"Emil Jannings";"The Last Command";"Grand Duke Sergius Alexander"
"Emil Jannings";"The Way of All Flesh";"August Schilling"
"Warner Baxter";"In Old Arizona";"The Cisco Kid"
"George Arliss";"Disraeli";"Benjamin Disraeli"
"Lionel Barrymore";"A Free Soul";"Stephen Ashe"
"Wallace Beery";"The Champ";"'Andy Champ Purcell"
"Fredric March";"Dr. Jekyll and Mr. Hyde";"Dr. Henry L. Jekyll/Edward Hyde"
"Charles Laughton";"The Private Life of Henry VIII";"King Henry VIII of England"
"Clark Gable";"It Happened One Night";"Peter Warner"
"Victor McLaglen";"The Informer";"Gypo Nolan"
"Paul Muni";"The Story of Louis Pasteur";"Louis Pasteur"
"Spencer Tracy";"Captains Courageous";"Manuel"
"Spencer Tracy";"Boys Town";"Father Flanagan"
"Robert Donat";"Goodbye, Mr. Chips";"Charles Edward Chipping"
"James Stewart";"The Philadelphia Story";"Macaulay Mike Connor"
"Gary Cooper";"Sergeant York";"Alvin C. York"
"James Cagney";"Yankee Doodle Dandy";"George M. Cohan"
"Paul Lukas";"Watch on the Rhine";"Kurt Muller"
"Bing Crosby";"Going My Way";"Father Chuck O'Malley"
"Ray Milland";"The Lost Weekend";"Don Birnam"
"Fredric March";"The Best Years of Our Lives";"Al Stephenson"
"Ronald Colman";"A Double Life";"Anthony John"
"Laurence Olivier";"Hamlet";"Hamlet, Prince of Denmark"
"Broderick Crawford";"All the King's Men";"Willie Stark"
"José Ferrer";"Cyrano de Bergerac";"Cyrano de Bergerac"
"Humphrey Bogart";"The African Queen";"Charlie Allnut"
"Gary Cooper";"High Noon";"Marshal Will Kane"
"William Holden";"Stalag 17";"Sgt. J.J. Sefton"
"Marlon Brando";"On the Waterfront";"Terry Malloy"
"Ernest Borgnine";"Marty";"Marty Piletti"
"Yul Brynner";"The King and I";"King Mongkut of Siam"
"Alec Guinness";"The Bridge on the River Kwai";"Colonel Nicholson"
"David Niven";"Separate Tables";"Major Angus Pollock"
"Charlton Heston";"Ben-Hur";"Judah Ben-Hur"
"Burt Lancaster";"Elmer Gantry";"Elmer Gantry"
"Maximilian Schell";"Judgment at Nuremberg";"Hans Rolfe"
"Gregory Peck";"To Kill a Mockingbird";"Atticus Finch"
"Sidney Poitier";"Lilies of the Field";"Homer Smith"
"Rex Harrison";"My Fair Lady";"Professor Henry Higgins"
"Lee Marvin";"Cat Ballou";"Kid Shelleen"
"Paul Scofield";"A Man for All Seasons";"Sir Thomas More"
"Rod Steiger";"In the Heat of the Night";"Police Chief Bill Gillespie"
"Cliff Robertson";"Charly";"Charly Gordon"
"John Wayne";"True Grit";"Rooster Cogburn"
"George C. Scott";"Patton";"General George S. Patton, Jr."
"Gene Hackman";"The French Connection";"Jimmy Popeye Doyle"
"Marlon Brando";"The Godfather";"Vito Corleone"
"Jack Lemmon";"Save the Tiger";"Harry Stoner"
"Art Carney";"Harry and Tonto";"Harry Coombes"
"Jack Nicholson";"One Flew Over the Cuckoo's Nest";"Randle Patrick Mac McMurphy"
"Peter Finch";"Network";"Howard Beale"
"Richard Dreyfuss";"The Goodbye Girl";"Elliot Garfield"
"Jon Voight";"Coming Home";"Luke Martin"
"Dustin Hoffman";"Kramer vs. Kramer";"Ted Kramer"
"Robert De Niro";"Raging Bull";"Jake LaMotta"
"Henry Fonda";"On Golden Pond";"Norman Thayer, Jr."
"Ben Kingsley";"Gandhi";"Mohandas Karamchand Gandhi"
"Robert Duvall";"Tender Mercies";"Mac Sledge"
"F. Murray Abraham";"Amadeus";"Antonio Salieri"
"William Hurt";"Kiss of the Spider Woman";"Luis Molina"
"Paul Newman";"The Color of Money";"Fast Eddie Felson"
"Michael Douglas";"Wall Street";"Gordon Gekko"
"Dustin Hoffman";"Rain Man";"Raymond Babbitt, aka Rain Man"
"Daniel Day-Lewis";"My Left Foot";"Christy Brown"
"Jeremy Irons";"Reversal of Fortune";"Claus von Bülow"
"Anthony Hopkins";"The Silence of the Lambs";"Dr. Hannibal Lecter"
"Al Pacino";"Scent of a Woman";"Lieutenant Colonel Frank Slade"
"Tom Hanks";"Philadelphia";"Andrew Beckett"
"Tom Hanks";"Forrest Gump";"Forrest Gump"
"Nicolas Cage";"Leaving Las Vegas";"Ben Sanderson"
"Geoffrey Rush";"Shine";"David Helfgott"
"Jack Nicholson";"As Good as It Gets";"Melvin Udall"
"Roberto Benigni";"Life Is Beautiful";"Guido Orefice"
"Kevin Spacey";"American Beauty";"Lester Burnham"
"Russell Crowe";"Gladiator";"Maximus Decimus Meridius"
"Denzel Washington";"Training Day";"Detective Alonzo Harris"
"Adrien Brody";"The Pianist";"Władysław Szpilman"
"Sean Penn";"Mystic River";"Jimmy Markum"
"Jamie Foxx";"Ray";"Ray Charles"
"Philip Seymour Hoffman";"Capote";"Truman Capote"
"Forest Whitaker";"The Last King of Scotland";"Idi Amin"
"Daniel Day-Lewis";"There Will Be Blood";"Daniel Plainview"
"Sean Penn";"Milk";"Harvey Milk"
"Jeff Bridges";"Crazy Heart";"Otis Bad Blake"
"Colin Firth";"The King's Speech";"King George VI"
"Jean Dujardin";"The Artist";"George Valentin"
"Daniel Day-Lewis";"Lincoln";"Abraham Lincoln"
"(Actor)";"(Film)";"(Role)"
