"http://dbpedia.org/class/yago/ViralVideos,http://dbpedia.org/class/yago/YouTuBEVideos";"http://dbpedia.org/ontology/Artist"
"http://dbpedia.org/resource/Category:Viral_videos,http://dbpedia.org/resource/Category:YouTube_videos";"http://dbpedia.org/resource/Category:Artists"
"Gangnam Style";"PSY"
"Baby";"Justin Bieber (featuring Ludacris)"
"On The Floor";"Jennifer Lopez (featuring Pitbull)"
"Love The Way You Lie";"Eminem (featuring Rihanna)"
"Party Rock Anthem";"LMFAO (featuring Lauren Bennett and GoonRock)"
"Waka Waka (This Time for Africa)";"Shakira"
"Charlie Bit My Finger – Again!";"Harry and Charlie Davies-Carr"
"Bad Romance";"Lady Gaga"
"Ai Se Eu Te Pego";"Michel Teló"
"Call Me Maybe";"Carly Rae Jepsen"
"Gentleman M/V";"PSY"
"Danza Kuduro";"Don Omar (featuring Lucenzo)"
"Not Afraid";"Eminem"
"Rain Over Me";"Pitbull (featuring Marc Anthony)"
"Rolling In The Deep";"Adele"
"Somebody That I Used To Know";"Gotye (featuring Kimbra)"
"The Lazy Song";"Bruno Mars"
"What Makes You Beautiful";"One Direction"
"Oppa Is Just My Style";"PSY (featuring Hyuna)"
"Never Say Never";"Justin Bieber (featuring Jaden Smith)"
"Firework";"Katy Perry"
"Thrift Shop";"Macklemore & Ryan Lewis (featuring Wanz)"
"Party in the U.S.A.";"Miley Cyrus"
"The Gummy Bear Song";"Gummibär"
"Super Bass";"Nicki Minaj"
"One Time";"Justin Bieber"
"What's My Name?";"Rihanna (featuring Drake)"
"Just The Way You Are";"Bruno Mars"
"Grenade";"Bruno Mars"
"Diamonds";"Rihanna"
"(Video name)";"(Artist)"
