"http://dbpedia.org/ontology/Writer";"http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/WrittenWork"
"http://dbpedia.org/resource/Category:Newbery_Medal_winners";"http://dbpedia.org/resource/Category:Newbery_Medal_winning_works"
"Hendrik Willem van Loon";"The Story of Mankind"
"Hugh Lofting";"The Voyages of Doctor Dolittle"
"Charles Hawes";"The Dark Frigate"
"Charles Finger";"Tales from Silver Lands"
"Arthur Bowie Chrisman";"Shen of the Sea"
"Will James";"Smoky the Cow Horse"
"Dhan Gopal Mukerji";"Gay Neck, the Story of a Pigeon"
"Eric P. Kelly";"The Trumpeter of Krakow"
"Rachel Field";"Hitty, Her First Hundred Years"
"Elizabeth Coatsworth";"The Cat Who Went to Heaven"
"Laura Adams Armer";"Waterless Mountain"
"Elizabeth Foreman Lewis";"Young Fu of the Upper Yangtze"
"Cornelia Meigs";"Invincible Louisa"
"Monica Shannon";"Dobry"
"Carol Ryrie Brink";"Caddie Woodlawn"
"Ruth Sawyer";"Roller Skates"
"Kate Seredy";"The White Stag"
"Elizabeth Enright";"Thimble Summer"
"James Daugherty";"Daniel Boone"
"Armstrong Sperry";"Call It Courage"
"Walter D. Edmonds";"The Matchlock Gun"
"Elizabeth Gray Vining";"Adam of the Road"
"Esther Forbes";"Johnny Tremain"
"Robert Lawson";"Rabbit Hill"
"Lois Lenski";"Strawberry Girl"
"Carolyn Sherwin Bailey";"Miss Hickory"
"William Pène du Bois";"The Twenty-One Balloons"
"Marguerite Henry";"King of the Wind"
"Marguerite de Angeli";"The Door in the Wall"
"Elizabeth Yates";"Amos Fortune, Free Man"
"Eleanor Estes";"Ginger Pye"
"Ann Nolan Clark";"Secret of the Andes"
"Joseph Krumgold";"...And Now Miguel"
"Meindert DeJong";"The Wheel on the School"
"Jean Lee Latham";"Carry On, Mr. Bowditch"
"Virginia Sorensen";"Miracles on Maple Hill"
"Harold Keith";"Rifles for Watie"
"Elizabeth George Speare";"The Witch of Blackbird Pond"
"Joseph Krumgold";"Onion John"
"Scott O'Dell";"Island of the Blue Dolphins"
"Elizabeth George Speare";"The Bronze Bow"
"Madeleine L'Engle";"A Wrinkle in Time"
"Emily Cheney Neville";"It's Like This, Cat"
"Maia Wojciechowska";"Shadow of a Bull"
"Elizabeth Borton de Treviño";"I, Juan de Pareja"
"Irene Hunt";"Up a Road Slowly"
"E. L. Konigsburg";"From the Mixed-Up Files of Mrs. Basil E. Frankweiler"
"Lloyd Alexander";"The High King"
"William H. Armstrong";"Sounder"
"Betsy Byars";"Summer of the Swans"
"Robert C. O'Brien";"Mrs. Frisby and the Rats of NIMH"
"Jean Craighead George";"Julie of the Wolves"
"Paula Fox";"The Slave Dancer"
"Virginia Hamilton";"M. C. Higgins, the Great"
"Susan Cooper";"The Grey King"
"Mildred Taylor";"Roll of Thunder, Hear My Cry"
"Katherine Paterson";"Bridge to Terabithia"
"Ellen Raskin";"The Westing Game"
"Joan Blos";"A Gathering of Days: A New England Girl's Journal"
"Katherine Paterson";"Jacob Have I Loved"
"Nancy Willard";"A Visit to William Blake's Inn"
"Cynthia Voigt";"Dicey's Song"
"Beverly Cleary";"Dear Mr. Henshaw"
"Robin McKinley";"The Hero and the Crown"
"Patricia MacLachlan";"Sarah, Plain and Tall"
"Sid Fleischman";"The Whipping Boy"
"Russell Freedman";"Lincoln: A Photobiography"
"Paul Fleischman";"Joyful Noise: Poems for Two Voices"
"Lois Lowry";"Number the Stars"
"Jerry Spinelli";"Maniac Magee"
"Phyllis Reynolds Naylor";"Shiloh"
"Cynthia Rylant";"Missing May"
"Lois Lowry";"The Giver"
"Sharon Creech";"Walk Two Moons"
"Karen Cushman";"The Midwife's Apprentice"
"E. L. Konigsburg";"The View from Saturday"
"Karen Hesse";"Out of the Dust"
"Louis Sachar";"Holes"
"Christopher Paul Curtis";"Bud, Not Buddy"
"Richard Peck";"A Year Down Yonder"
"Linda Sue Park";"A Single Shard"
"Avi";"Crispin: The Cross of Lead"
"Kate DiCamillo";"The Tale of Despereaux"
"Cynthia Kadohata";"Kira-Kira"
"Lynne Rae Perkins";"Criss Cross"
"Susan Patron";"The Higher Power of Lucky"
"Laura Amy Schlitz";"Good Masters! Sweet Ladies! Voices from a Medieval Village"
"Neil Gaiman";"The Graveyard Book"
"Rebecca Stead";"When You Reach Me"
"Clare Vanderpool";"Moon Over Manifest"
"Jack Gantos";"Dead End in Norvelt"
"Katherine Applegate";"The One and Only Ivan"
"(Author)";"(Book)"
