"http://dbpedia.org/ontology/PoliticalParty";"http://dbpedia.org/class/yago/LeadersOfPoliticalParties";"http://dbpedia.org/class/yago/PoliticalIdeologies"
"http://dbpedia.org/resource/Category:Political_parties_in_Germany";"http://dbpedia.org/resource/Category:Leaders_of_political_parties_in_Germany";"http://dbpedia.org/resource/Category:Political_ideologies"
"Christian Democratic Union of Germany";"Angela Merkel";"Christian democracy and Liberal conservatism"
"Christian Social Union of Bavaria";"Horst Seehofer";"Christian democracy and Social conservatism"
"Social Democratic Party of Germany";"Sigmar Gabriel";"Social democracy, Third Way"
"Free Democratic Party";"Philipp Rösler";"Classical liberalism, Liberalism"
"The Left";"Katja Kipping and Bernd Riexinger";"Communism"
"The Greens";"Claudia Roth and Cem Özdemir";"Green politics"
"Free Voters";"Hubert Aiwanger";"Populism, Localism, Euroscepticism"
"Pirate Party Germany";"Bernd Schlömer";"Pirate politics, Progressivism, Liberalism"
"National Democratic Party of Germany";"Holger Apfel";"Right-wing, Nationalism, Conservatism"
"South Schleswig Voter Federation";"Flemming Meyer";"Regionalism, ethnic minority politics, social liberalism"
"Citizens in Rage";"Jan Timke";"Right-wing populism"
"Alternative for Germany";"Bernd Lucke and Frauke Petry and Konrad Adam";"Euroscepticism"
"(Name)";"(Leader)";"(Ideology)"
