"http://dbpedia.org/ontology/FictionalCharacter";"http://dbpedia.org/class/yago/AmericanTelevisionActors"
"http://dbpedia.org/resource/Category:The_West_Wing_characters";"http://dbpedia.org/resource/Category:American_television_actors"
"Josiah Bartlet";"Martin Sheen"
"Leo McGarry";"John Spencer"
"C.J. Cregg";"Allison Janney"
"Charlie Young";"Dulé Hill"
"Josh Lyman";"Bradley Whitford"
"Donna Moss";"Janel Moloney"
"Toby Ziegler";"Richard Schiff"
"Sam Seaborn";"Rob Lowe"
"Will Bailey";"Joshua Malina"
"Annabeth Schott";"Kristin Chenoweth"
"Mandy Hampton";"Moira Kelly"
"Angela Blake";"Michael Hyatt"
"Clifford Cliff Calley";"Mark Feuerstein"
"Amy Gardner";"Mary-Louise Parker"
"Deborah Fiderer";"Lily Tomlin"
"Margaret Hooper";"NiCole Robinson"
"Bonnie";"Devika Parikh"
"Ginger";"Kim Webster"
"Carol Fitzpatrick";"Melissa Fitzgerald"
"Cathy";"Suzy Nakamura"
"Elsie Snuffin";"Danica McKellar"
"Marina";"Melissa Marsala"
"Nancy";"Renée Estevez"
"Ed";"Peter James Smith"
"Larry";"William Duffy"
"Ryan Pierce";"Jesse Bradford"
"Curtis Carruthers";"Ben Murray"
"Lionel Tribbey";"John Larroquette"
"Oliver Babish";"Oliver Platt"
"Ainsley Hayes";"Emily Procter"
"Joe Quincy";"Matthew Perry"
"Mike Wayne";"Benjamin Brown"
"Richard Squire";"Michael Kostroff"
"Admiral";"John Amos"
"General Nicholas Alexander";"Terry O'Quinn"
"Dr. Nancy McNally";"Anna Deavere Smith"
"Lieutenant Commander Jack Reese";"Christian Slater"
"Commander Kate Harper";"Mary McCormack"
"General Alan Adamle";"Gerald McRaney"
"General Shannon";"Daniel Von Bargen"
"General Ed Barrie";"Tom Bower"
"General Mitch Jensen";"Christopher Kriesa"
"Colonel Mark Chase";"David Graf"
"CIA Director George Rollie";"Ryan Cutrona"
"Bobby Dunn";"Gary Cervantes"
"Albie Duncan";"Hal Holbrook"
"Ted Barrow";"Ron Canada"
"Bob Slattery";"Thomas Kopache"
"Miguel Mickey Troop";"Tony Plana"
"Mike Chysler";"Glenn Morshower"
"Ron Butterfield";"Michael O'Neill"
"Simon Donovan";"Mark Harmon"
"Gina Toscano";"Jorja Fox"
"Wesley Davis";"Taye Diggs"
"Molly O'Connor";"Kimberly Bigsby"
"Randy Weathers";"Shannon Marshall"
"Jamie Reed";"John Antonini"
"George Arnold";"Michael Kagan"
"Mike Casper";"Clark Gregg"
"(Fictional Character)";"(Actor)"
