"http://dbpedia.org/class/yago/HostCitiesOfTheWinterOlympicGames";"http://dbpedia.org/ontology/Country"
"http://dbpedia.org/resource/Category:Host_cities_of_the_Winter_Olympic_Games";"http://dbpedia.org/resource/Category:Countries"
"Chamonix";"France"
"St. Moritz";"Switzerland"
"Lake Placid";"United States"
"Garmisch-Partenkirchen";"Germany"
"St. Moritz";"Switzerland"
"Oslo";"Norway"
"Cortina d'Ampezzo";"Italy"
"Squaw Valley";"United States"
"Innsbruck";"Austria"
"Grenoble";"France"
"Sapporo";"Japan"
"Innsbruck";"Austria"
"Lake Placid";"United States"
"Sarajevo";"Yugoslavia"
"Calgary";"Canada"
"Albertville";"France"
"Lillehammer";"Norway"
"Nagano";"Japan"
"Salt Lake City";"United States"
"Turin";"Italy"
"Vancouver";"Canada"
"Sochi";"Russia"
"Pyeongchang";"South Korea"
"(Host City)";"(Host Country)"
